species,method,genome_coverage,hic_coverage,grouping,order,orientation,accuracy,edit_distance,seconds,scaffold_count,scaffold_largest,scaffold_n50,reference_count,reference_largest,reference_n50
athaliana,3d_dna,100kb,1000x,0.8648402601582391,0.971688097670874,0.9708571266031121,0.9713026138699741,84.0,5083,47,26795173,19988909,7.0,30427671.0,23459830.0
athaliana,3d_dna,100kb,100x,0.737384573471158,0.9655262688129621,0.9650230153394441,0.964063775939989,108.0,1101,69,23408994,15296086,7.0,30427671.0,23459830.0
athaliana,3d_dna,100kb,10x,0.48428975031956806,0.632440159653457,0.5958051975506781,0.605284735509213,1261.0,520,727,67277026,67277026,7.0,30427671.0,23459830.0
athaliana,3d_dna,100kb,1x,0.025576174573318,0.01141420046624,0.011078079163558002,0.018055431990779,2555.0,258,2061,3125953,100000,7.0,30427671.0,23459830.0
athaliana,3d_dna,100kb,500x,0.865784190777621,0.9669670741150961,0.9659100187067511,0.9676084060166221,98.0,3009,61,26814308,19897845,7.0,30427671.0,23459830.0
athaliana,3d_dna,100kb,50x,0.591943828840056,0.9608716234325461,0.9602153125727371,0.9606619904640821,126.0,667,96,15181281,13851939,7.0,30427671.0,23459830.0
athaliana,3d_dna,100kb,5x,0.348428674164508,0.46099308107176706,0.425778028895454,0.429947605931187,2014.0,413,1180,16316239,5888994,7.0,30427671.0,23459830.0
athaliana,3d_dna,100x,100x,0.43413172156884905,0.107604274169055,0.059020340070564004,0.432800133858098,2458.0,5410,3455,8088688,136479,7.0,30427671.0,23459830.0
athaliana,3d_dna,10kb,100x,0.29426705208102605,0.25811225910795604,0.250322813472309,0.48792241115237406,12280.0,1579,11968,124010089,124010089,7.0,30427671.0,23459830.0
athaliana,3d_dna,10x,100x,0.33461409949256804,0.31795654597655104,0.23959516382598603,0.27454261094418503,2199.0,1028,1507,8897957,5646011,7.0,30427671.0,23459830.0
athaliana,3d_dna,1mb,100x,0.7348889577998591,0.915518592334929,0.9152309713461461,0.9179123781552501,61.0,1093,48,23431277,14547593,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,1000x,0.542007329103506,0.624380408457027,0.5450873799756301,0.592133334122903,1291.0,5189,783,14276869,12838973,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,100x,0.558278930065592,0.621580717198104,0.5340142976027981,0.5866439617379321,1353.0,1523,876,16947785,10323067,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,10x,0.443917270885596,0.33176651393781803,0.292559237305521,0.355181879333377,2499.0,1060,2113,11446496,5337353,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,1x,0.09136925833457,0.00020913035172200002,0.00020913035172200002,0.07082240134796701,2734.0,301,2958,2414528,65512,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,500x,0.411246982555724,0.6255743333796121,0.538156859004581,0.5912627920645981,1321.0,3872,814,57817897,13596211,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,50x,0.540938373157009,0.54811332119486,0.46350516347185805,0.5203291796448061,1555.0,1261,1081,18400054,12529204,7.0,30427671.0,23459830.0
athaliana,3d_dna,20x,5x,0.18879478396709,0.10456037090980601,0.080150705783015,0.153729868740747,3496.0,939,2960,5106231,333287,7.0,30427671.0,23459830.0
athaliana,3d_dna,30x,100x,0.45091167992236103,0.34812863336582905,0.20946011760041103,0.36474366512959105,2017.0,3029,1958,18532338,6748339,7.0,30427671.0,23459830.0
athaliana,3d_dna,40x,100x,0.39759174849182505,0.20770075199350702,0.123319536317865,0.37082041611924105,2401.0,4398,2956,15201803,192385,7.0,30427671.0,23459830.0
athaliana,3d_dna,500kb,100x,0.734315749269132,0.939312983849775,0.9368343923987331,0.9370169385617151,62.0,1006,45,23461900,15102995,7.0,30427671.0,23459830.0
athaliana,3d_dna,50kb,100x,0.5615460813855541,0.9695651823100291,0.9657800760711711,0.968020878955238,141.0,1176,86,47868317,19706663,7.0,30427671.0,23459830.0
athaliana,3d_dna,50x,100x,0.497868968449153,0.15321429592522,0.09573412080844301,0.40402829231500503,2419.0,4301,3366,18045368,137131,7.0,30427671.0,23459830.0
athaliana,3d_dna,60x,100x,0.48722238936739004,0.11719838789794301,0.067386810055371,0.40352025325198704,2434.0,5669,3442,21493051,133743,7.0,30427671.0,23459830.0
athaliana,3d_dna,70x,100x,0.482098649732827,0.113410827043273,0.07022397513490801,0.408855717883827,2416.0,5699,3588,11093173,131226,7.0,30427671.0,23459830.0
athaliana,3d_dna,80x,100x,0.46271529262687705,0.09349417891818901,0.059221676670857,0.397259822995561,2465.0,6693,3597,10759854,130000,7.0,30427671.0,23459830.0
athaliana,3d_dna,90x,100x,0.48048345284915606,0.085078730674151,0.048933481840245006,0.402734099708197,2334.0,6352,3460,16903784,132000,7.0,30427671.0,23459830.0
