JobID|CPUTimeRAW|
5978|11|
5978.extern|11|
5978.0|11|
5979|6|
5979.extern|6|
5979.0|6|
5980|16|
5980.extern|16|
5980.0|16|
5981|10|
5981.extern|10|
5981.0|10|
9281|1|
9281.extern|1|
9281.0|1|
9282|0|
9282.extern|0|
9282.0|0|
9283|1|
9283.extern|1|
9283.0|1|
9285|70|
9285.extern|70|
9285.0|70|
9289|3060|
9289.extern|3061|
9289.0|3060|
9316|15|
9316.extern|15|
9316.0|14|
9318|63|
9318.extern|63|
9318.0|63|
9319|60|
9319.extern|60|
9319.0|60|
9320|45220|
9320.extern|45220|
9320.0|45220|
9394|1630|
9394.extern|1630|
9394.0|1630|
9399|0|
9401|0|
9402|0|
9403|0|
9404|0|
9405|0|
9406|0|
9408|0|
9409|0|
9410|0|
9411|0|
9412|0|
10913|0|
10915|11|
10915.extern|11|
10915.0|11|
10916|5220|
10916.extern|5220|
10916.0|5220|
10966|256|
10966.extern|256|
10966.0|255|
10967|125000|
10967.extern|125000|
10967.0|125000|
10985|576960|
10985.extern|576960|
10985.0|576960|
12502|0|
12503|0|
12504|0|
12505|0|
12506|0|
12507|0|
12508|0|
12509|0|
12510|288260|
12510.extern|288260|
12510.0|288240|
12512|0|
12512.batch|0|
12512.extern|0|
12513|40|
12513.batch|40|
12513.extern|40|
12514|40|
12514.batch|40|
12514.extern|40|
12515|1|
12515.batch|1|
12515.extern|1|
12516|0|
12516.batch|0|
12516.extern|0|
12517|0|
12517.batch|0|
12517.extern|0|
12518|0|
12518.batch|0|
12518.extern|0|
12538|0|
12538.batch|0|
12538.extern|0|
12539|0|
12539.batch|0|
12539.extern|0|
12540|0|
12540.batch|0|
12540.extern|0|
12541|0|
12541.batch|0|
12541.extern|0|
12542|4|
12542.batch|4|
12542.extern|4|
12543|0|
12543.batch|0|
12543.extern|0|
12544|114200|
12544.extern|114200|
12544.0|114200|
12545|4|
12545.batch|4|
12545.extern|4|
12546|160|
12546.batch|160|
12546.extern|160|
12547|0|
12547.batch|0|
12547.extern|0|
12548|4|
12548.batch|4|
12548.extern|4|
12549|240|
12549.batch|240|
12549.extern|240|
12550|4|
12550.batch|4|
12550.extern|4|
12551|280|
12551.batch|280|
12551.extern|280|
12552|4|
12552.batch|4|
12552.extern|4|
12553|240|
12553.batch|240|
12553.extern|240|
12554|0|
12554.batch|0|
12554.extern|0|
12555|0|
12555.batch|0|
12555.extern|0|
12556|40|
12556.batch|40|
12556.extern|40|
12557|40|
12557.batch|40|
12557.extern|40|
12558|40|
12558.batch|40|
12558.extern|40|
12559|40|
12559.batch|40|
12559.extern|40|
13035|2|
13035.batch|2|
13035.extern|2|
13036|200|
13036.batch|200|
13036.extern|200|
13094|186340|
13094.extern|186340|
13094.0|186340|
13095|0|
13098|3|
13098.batch|3|
13098.extern|3|
13099|200|
13099.batch|200|
13099.extern|200|
14760|288480|
14760.extern|288480|
14760.0|288480|
14761|2|
14761.batch|2|
14761.extern|2|
14762|0|
14762.batch|0|
14762.extern|0|
14763|40|
14763.batch|40|
14763.extern|40|
14764|1520|
14764.batch|1560|
14764.extern|1520|
14765|2|
14765.batch|2|
14765.extern|2|
14766|3|
14766.batch|3|
14766.extern|3|
14767|0|
14767.batch|0|
14767.extern|0|
14768|0|
14768.batch|0|
14768.extern|0|
14769|2|
14769.batch|2|
14769.extern|2|
14770|240|
14770.batch|240|
14770.extern|240|
14771|40|
14771.batch|40|
14771.extern|40|
14772|8000|
14772.batch|8000|
14772.extern|8000|
14793|0|
14794|8480|
14794.batch|8480|
14794.extern|8480|
14803|40|
14803.batch|40|
14803.extern|40|
14806|40|
14806.batch|40|
14806.extern|40|
14813|40|
14813.batch|40|
14813.extern|40|
14814|40|
14814.batch|40|
14814.extern|40|
14815|0|
14815.batch|0|
14815.extern|0|
14816|22400|
14816.batch|22400|
14816.extern|22400|
14817|25680|
14817.extern|25680|
14817.0|25680|
14818|0|
14818.batch|0|
14818.extern|0|
14819|3|
14819.batch|3|
14819.extern|3|
14820|305|
14820.batch|305|
14820.extern|305|
14823|2|
14823.batch|2|
14823.extern|2|
14824|0|
14825|0|
14827|0|
14829|240|
14829.batch|240|
14829.extern|240|
14830|40|
14830.batch|40|
14830.extern|40|
14832|40|
14832.batch|40|
14832.extern|40|
14834|3|
14834.batch|3|
14834.extern|3|
14835|200|
14835.batch|200|
14835.extern|200|
14836|0|
14836.batch|0|
14836.extern|0|
14837|0|
14837.batch|0|
14837.extern|0|
14838|2|
14838.batch|2|
14838.extern|2|
14839|240|
14839.batch|240|
14839.extern|240|
14840|40|
14840.batch|40|
14840.extern|40|
14841|40|
14841.batch|40|
14841.extern|40|
14843|3|
14843.batch|3|
14843.extern|3|
